"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","885","Успешное создание пользователя","","Tue Sep 16 11:42:51 MSK 2025","passed","Tue Sep 16 11:42:52 MSK 2025","","UserApiTests","UserApiTests","testCreateUserSuccess"
"","6958","Получение заказов пользователя","","Fri Aug 29 10:56:36 MSK 2025","passed","Fri Aug 29 10:56:43 MSK 2025","","ApiTests","ApiTests","testGetUserOrders"
"","4405","Получение заказов пользователя","","Tue Sep 16 11:42:52 MSK 2025","passed","Tue Sep 16 11:42:57 MSK 2025","","OrderApiTests","OrderApiTests","testGetUserOrders"
"","4050","Изменение имени пользователя на случайное","","Tue Sep 16 11:42:47 MSK 2025","passed","Tue Sep 16 11:42:51 MSK 2025","","UserApiTests","UserApiTests","testUpdateUserName"
"","173","Параметризованный тест: {0}","","Tue Sep 16 11:42:52 MSK 2025","passed","Tue Sep 16 11:42:52 MSK 2025","","ApiParamTests","ApiParamTests","testCreateUser[Ошибка: без пароля]"
"","173","Параметризованный тест: {0}","","Tue Sep 16 11:42:52 MSK 2025","passed","Tue Sep 16 11:42:52 MSK 2025","","ApiParamTests","ApiParamTests","testCreateUser[Ошибка: без email]"
"","2254","Параметризованный тест: {0}","","Mon Sep 01 16:09:56 MSK 2025","broken","Mon Sep 01 16:09:59 MSK 2025","","ApiParamTests","ApiParamTests","testCreateUser[Успешное создание пользователя]"
"","7067","Создание заказа","","Mon Sep 01 11:55:17 MSK 2025","passed","Mon Sep 01 11:55:24 MSK 2025","","ApiTests","ApiTests","testSuccessfulOrderCreation"
"","3870","Создание заказа","","Tue Sep 16 11:42:57 MSK 2025","passed","Tue Sep 16 11:43:01 MSK 2025","","OrderApiTests","OrderApiTests","testSuccessfulOrderCreation"
"","3953","Изменение имени пользователя на случайное","","Mon Sep 01 13:20:04 MSK 2025","passed","Mon Sep 01 13:20:08 MSK 2025","","ApiTests","ApiTests","testUpdateUserName"
"","169","Параметризованный тест: {0}","","Tue Sep 16 11:42:52 MSK 2025","passed","Tue Sep 16 11:42:52 MSK 2025","","ApiParamTests","ApiParamTests","testCreateUser[Ошибка: без имени]"
